date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed
2020-03-22,21,C3H8,air,N2,289.12325233821576,0.014220069530209756,101325.0,101407.7465364153,3.719759615529152,1.0,0.9798958989678442,0.0015602004132068247,0.01,0.01824422113471344,5.909477662388818e-05,1734.6341463414635,1.9944253134244614,2230.7497555245127,1788.0984245757115,987.9466816320848
2020-03-22,22,C3H8,air,N2,289.4685384816217,0.014341003882542286,101325.0,101434.13189336043,3.6581599096421806,1.0,0.9688601228913776,0.0017087060091008333,0.01,0.01849527022469193,5.8012839472614604e-05,1823.5897435897436,2.204226792811606,2222.4811077839295,1784.5703969388842,986.3570312664878
2020-03-22,23,C3H8,air,N2,289.3652284462902,0.014151126007656438,101325.0,101434.97701360703,3.686923180600979,1.0,0.9776709613191766,0.0015385763197900677,0.01,0.01820212809014546,5.671887105431553e-05,1808.135593220339,2.1670253207984898,2229.3575271659456,1787.423063360714,987.6500185688354
2020-03-22,24,C3H8,air,N2,289.2515069367488,0.014207838637170057,101325.0,101351.07969422388,3.6986794302253787,1.0,0.981274634116143,0.0015582242520255734,0.01,0.018446006296963687,5.883693708587054e-05,1861.780104712042,2.297517167749258,2231.5286915270494,1788.41863234287,988.1036904475116
2020-03-22,25,C3H8,air,N2,289.35256756073835,0.013995295746504634,101325.0,101510.87258755717,3.7971626707252284,1.0,0.9739673429837303,0.0015006162876977935,0.01,0.018222622750736495,5.551964065609646e-05,1811.2054329371817,2.174389887524692,2226.6495710101153,1786.2904503985444,987.1332250297456
2020-03-22,26,C3H8,air,N2,289.414259489463,0.014001011230610757,101325.0,101372.61519141965,3.7718921071462375,1.0,0.9791047229730091,0.0015518896370938558,0.01,0.018253543655361876,5.863373063365582e-05,1792.9411764705883,2.1307577548759458,2230.3233184781575,1787.8259139599763,987.8374012556579
2020-03-22,27,C3H8,air,N2,289.2916334726368,0.014196487988842127,101325.0,101420.21362382694,3.7086836373072405,1.0,0.9793367017907526,0.0015504413934136242,0.01,0.018446441973755848,5.8690618463994165e-05,1789.9328859060402,2.123613559552377,2230.2302382295507,1787.8409331433852,987.840836003468
2020-03-22,28,C3H8,air,N2,289.1732397794344,0.014228462991286536,101325.0,101422.04776703012,3.6912460964019562,1.0,0.9780583030415789,0.0014851076865702974,0.01,0.018291292293239815,5.60519707045204e-05,1823.5897435897436,2.204226792811606,2229.440695502481,1787.520950520899,987.68371709928
2020-03-22,29,C3H8,air,N2,289.2566296567547,0.01404626865887877,101325.0,101384.01800278925,3.668589394206633,1.0,0.9768003795992902,0.001582366905035048,0.01,0.018211429454642724,5.624573175706981e-05,1826.7123287671234,2.211781977651621,2228.6602670697607,1787.1541422095638,987.5173584599398
2020-03-22,30,C3H8,air,N2,289.32052256762955,0.014177574851265562,101325.0,101370.72467414607,3.745369374313601,1.0,0.9786142201066819,0.0015363132362640006,0.01,0.018386721461629136,5.844089316108573e-05,1823.5897435897436,2.204226792811606,2229.7911709100144,1787.6339050049576,987.7441918495766
2020-03-22,31,C3H8,air,N2,289.1889559375858,0.014023435344601917,101325.0,101477.82805609993,3.7573400484574218,1.0,0.9728284877514008,0.0016115780091164812,0.01,0.018244281321194537,5.641324282723372e-05,1780.9682804674458,2.1023952390599767,2225.685099013345,1785.9370305995565,986.9603598382103
